"","author","title","journal","date"
"741","Yu Hua Fu","Association Between Vaccination for Human Papillomavirus (HPV) and Autonomic Dysfunction and Menstrual Irregularities: A Self-Controlled Case Series Analysis.","Drugs - real world outcomes","2025 Jun 16"
"742","Yu-Jung Wei","Use of antiparkinson medications among elderly Medicare beneficiaries with Parkinson's disease.","The American journal of geriatric pharmacotherapy","2010 Aug"
"743","Yu-Jung Wei","Association of chronic obstructive pulmonary disease maintenance medication adherence with all-cause hospitalization and spending in a Medicare population.","The American journal of geriatric pharmacotherapy","2012 Jun"
"744","Yu-Jung Wei","Antiparkinson drug use and adherence in medicare part D beneficiaries with Parkinson's disease.","Clinical therapeutics","2013 Oct"
"745","Yu-Jung Wei","Quality of psychopharmacological medication prescribing and mortality in Medicare beneficiaries in nursing homes.","Journal of the American Geriatrics Society","2014 Aug"
"746","Yu-Jung Wei","Antiparkinson drug adherence and its association with health care utilization and economic outcomes in a Medicare Part D population.","Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research","2014 Mar"
"747","Yu-Jung Wei","Quality of psychopharmacological medication use in nursing home residents.","Research in social & administrative pharmacy : RSAP","2014 May-Jun"
"748","Yu-Jung Wei","Response to Lapane and colleagues.","Journal of the American Geriatrics Society","2015 Apr"
"749","Yu-Jung Wei","Relationships between antiparkinson medication nonadherence, regimen modifications, and healthcare utilization and expenditures.","Parkinsonism & related disorders","2015 Jan"
"750","Yu-Jung Wei","Treated Behavioral Symptoms and Mortality in Medicare Beneficiaries in Nursing Homes with Alzheimer's Disease and Related Dementias.","Journal of the American Geriatrics Society","2015 Sep"
"751","Yu-Jung Wei","Mortality Risk of Antipsychotic Dose and Duration in Nursing Home Residents with Chronic or Acute Indications.","Journal of the American Geriatrics Society","2016 May"
"752","Yu-Jung Wei","Algorithm for Identifying Nursing Home Days Using Medicare Claims and Minimum Data Set Assessment Data.","Medical care","2016 Nov"
"753","Yu-Jung Wei","Adherence to Maintenance Medications among Older Adults with Chronic Obstructive Pulmonary Disease. The Role of Depression.","Annals of the American Thoracic Society","2016 Sep"
"754","Yu-Jung Wei","Adherence and healthcare utilization among older adults with COPD and depression.","Respiratory medicine","2017 Aug"
"755","Yu-Jung Wei","Fall and Fracture Risk in Nursing Home Residents With Moderate-to-Severe Behavioral Symptoms of Alzheimer's Disease and Related Dementias Initiating Antidepressants or Antipsychotics.","The journals of gerontology. Series A, Biological sciences and medical sciences","2017 May 1"
"756","Yu-Jung Wei","The association of antidepressant treatment with COPD maintenance medication use and adherence in a comorbid Medicare population: A longitudinal cohort study.","International journal of geriatric psychiatry","2018 Feb"
"757","Yun-Yi Pan","Group-Based Trajectory Models to Evaluate the Association of Lipid Testing and Statin Adherence.","Drugs - real world outcomes","2025 Mar"
